"Letter","degree","strength","betweenness","Type"
"D",15,4.28121122781263,0,"Maze"
"G",15,4.01871016533922,0,"Maze"
"I",15,4.44877295333329,0,"Maze"
"K",15,4.36087496081563,0,"Maze"
"F",15,3.84588163339133,0,"Maze"
"L",15,2.67664426705918,0,"Maze"
"B",15,4.42739183058846,0,"Maze"
"A",15,2.34605807603039,7,"Maze"
"C",15,4.64778838539466,0,"Maze"
"E",15,4.09758203444,0,"Maze"
"N",15,2.19761865682849,9,"Maze"
"J",15,4.22392831032919,0,"Maze"
"M",15,3.29185965659114,0,"Maze"
"O",15,3.11238488622108,0,"Maze"
"P",15,2.15634676982423,5,"Maze"
"H",15,1.97631456793918,38,"Maze"
"A",2,0.255618574973414,0,"Maze"
"F",2,0.276804276804277,0,"Maze"
"C",2,0.059895379250218,1,"Maze"
"C",14,4.26340267590152,0,"Open"
"F",14,1.62101514323852,0,"Open"
"D",14,3.8825238778228,0,"Open"
"J",14,3.70582846713179,0,"Open"
"K",14,4.29066252716582,0,"Open"
"A",14,3.4948261091482,0,"Open"
"G",14,2.40556866924476,10,"Open"
"E",14,3.62511731599531,0,"Open"
"O",13,1.70840987977775,0,"Open"
"M",14,2.74321245099284,0,"Open"
"B",14,4.13730641796694,0,"Open"
"N",14,3.15010776160743,0,"Open"
"I",14,3.54809716498065,0,"Open"
"P",14,3.42020395942267,0,"Open"
"L",13,0.261473594584221,87,"Open"
"C",7,1.41061772270283,0,"Open"
"F",6,1.20013659699101,0,"Open"
"A",6,1.43569918717544,0,"Open"
"L",7,2.01511314159157,0,"Open"
"D",7,2.12230425984537,0,"Open"
"J",7,1.93864686437761,0,"Open"
"B",7,0.997326932475539,10,"Open"
"G",5,0.0505138104475853,18,"Open"
